Error,Epoch
1.079547,1
0.817802,2
0.712402,3
0.632649,4
0.566292,5
0.516962,6
0.485335,7
0.465138,8
0.450312,9
0.437433,10
0.424851,11
0.411912,12
0.398543,13
0.384942,14
0.371363,15
0.358030,16
0.345129,17
0.332822,18
0.321251,19
0.310528,20
0.300722,21
0.291855,22
0.283911,23
0.276845,24
0.270591,25
0.265063,26
0.260156,27
0.255745,28
0.251707,29
0.247942,30
0.244387,31
0.240999,32
0.237745,33
0.234593,34
0.231518,35
0.228504,36
0.225541,37
0.222628,38
0.219768,39
0.216965,40
0.214225,41
0.211549,42
0.208939,43
0.206392,44
0.203900,45
0.201453,46
0.199040,47
0.196645,48
0.194254,49
0.191853,50
0.189431,51
0.186981,52
0.184498,53
0.181983,54
0.179438,55
0.176872,56
0.174292,57
0.171708,58
0.169129,59
0.166564,60
0.164021,61
0.161509,62
0.159031,63
0.156593,64
0.154199,65
0.151850,66
0.149549,67
0.147296,68
0.145092,69
0.142937,70
0.140830,71
0.138771,72
0.136760,73
0.134794,74
0.132873,75
0.130996,76
0.129162,77
0.127369,78
0.125618,79
0.123906,80
0.122232,81
0.120595,82
0.118994,83
0.117428,84
0.115897,85
0.114397,86
0.112930,87
0.111493,88
0.110086,89
0.108708,90
0.107357,91
0.106032,92
0.104734,93
0.103460,94
0.102211,95
0.100985,96
0.099781,97
0.098599,98
0.097438,99
0.096298,100
0.095177,101
0.094075,102
0.092992,103
0.091926,104
0.090878,105
0.089847,106
0.088832,107
0.087834,108
0.086850,109
0.085882,110
0.084929,111
0.083990,112
0.083065,113
0.082154,114
0.081257,115
0.080372,116
0.079501,117
0.078643,118
0.077797,119
0.076964,120
0.076143,121
0.075335,122
0.074538,123
0.073753,124
0.072980,125
0.072219,126
0.071469,127
0.070730,128
0.070003,129
0.069287,130
0.068583,131
0.067889,132
0.067207,133
0.066535,134
0.065874,135
0.065224,136
0.064584,137
0.063955,138
0.063337,139
0.062728,140
0.062130,141
0.061542,142
0.060964,143
0.060396,144
0.059837,145
0.059288,146
0.058749,147
0.058219,148
0.057698,149
0.057186,150
0.056683,151
0.056188,152
0.055702,153
0.055225,154
0.054756,155
0.054295,156
0.053841,157
0.053396,158
0.052958,159
0.052527,160
0.052103,161
0.051687,162
0.051277,163
0.050873,164
0.050477,165
0.050086,166
0.049702,167
0.049323,168
0.048950,169
0.048583,170
0.048221,171
0.047864,172
0.047512,173
0.047165,174
0.046823,175
0.046486,176
0.046152,177
0.045823,178
0.045499,179
0.045178,180
0.044860,181
0.044547,182
0.044237,183
0.043931,184
0.043628,185
0.043328,186
0.043031,187
0.042738,188
0.042447,189
0.042159,190
0.041874,191
0.041591,192
0.041311,193
0.041034,194
0.040759,195
0.040486,196
0.040216,197
0.039948,198
0.039682,199
0.039418,200
0.039157,201
0.038897,202
0.038640,203
0.038384,204
0.038131,205
0.037879,206
0.037629,207
0.037381,208
0.037135,209
0.036890,210
0.036647,211
0.036406,212
0.036167,213
0.035930,214
0.035694,215
0.035459,216
0.035227,217
0.034996,218
0.034766,219
0.034538,220
0.034312,221
0.034087,222
0.033864,223
0.033642,224
0.033422,225
0.033204,226
0.032987,227
0.032771,228
0.032557,229
0.032344,230
0.032133,231
0.031923,232
0.031714,233
0.031507,234
0.031302,235
0.031098,236
0.030895,237
0.030693,238
0.030493,239
0.030295,240
0.030097,241
0.029901,242
0.029707,243
0.029514,244
0.029322,245
0.029131,246
0.028942,247
0.028754,248
0.028567,249
0.028381,250
0.028197,251
0.028014,252
0.027833,253
0.027652,254
0.027473,255
0.027295,256
0.027119,257
0.026943,258
0.026769,259
0.026596,260
0.026424,261
0.026254,262
0.026084,263
0.025916,264
0.025749,265
0.025583,266
0.025418,267
0.025255,268
0.025092,269
0.024931,270
0.024771,271
0.024612,272
0.024454,273
0.024297,274
0.024142,275
0.023987,276
0.023834,277
0.023681,278
0.023530,279
0.023380,280
0.023231,281
0.023083,282
0.022936,283
0.022790,284
0.022645,285
0.022501,286
0.022358,287
0.022216,288
0.022076,289
0.021936,290
0.021797,291
0.021660,292
0.021523,293
0.021387,294
0.021253,295
0.021119,296
0.020987,297
0.020855,298
0.020724,299
0.020595,300
0.020466,301
0.020338,302
0.020211,303
0.020086,304
0.019961,305
0.019837,306
0.019714,307
0.019592,308
0.019471,309
0.019351,310
0.019232,311
0.019113,312
0.018996,313
0.018880,314
0.018764,315
0.018649,316
0.018536,317
0.018423,318
0.018311,319
0.018200,320
0.018090,321
0.017981,322
0.017872,323
0.017765,324
0.017658,325
0.017553,326
0.017448,327
0.017344,328
0.017241,329
0.017138,330
0.017037,331
0.016936,332
0.016836,333
0.016737,334
0.016639,335
0.016542,336
0.016445,337
0.016349,338
0.016254,339
0.016160,340
0.016067,341
0.015974,342
0.015882,343
0.015791,344
0.015701,345
0.015611,346
0.015523,347
0.015435,348
0.015347,349
0.015261,350
0.015175,351
0.015090,352
0.015005,353
0.014922,354
0.014839,355
0.014756,356
0.014675,357
0.014594,358
0.014514,359
0.014434,360
0.014355,361
0.014277,362
0.014200,363
0.014123,364
0.014047,365
0.013971,366
0.013897,367
0.013822,368
0.013749,369
0.013676,370
0.013603,371
0.013532,372
0.013461,373
0.013390,374
0.013320,375
0.013251,376
0.013182,377
0.013114,378
0.013047,379
0.012980,380
0.012913,381
0.012847,382
0.012782,383
0.012717,384
0.012653,385
0.012589,386
0.012526,387
0.012464,388
0.012402,389
0.012340,390
0.012279,391
0.012219,392
0.012159,393
0.012099,394
0.012040,395
0.011981,396
0.011923,397
0.011866,398
0.011809,399
0.011752,400
0.011696,401
0.011640,402
0.011585,403
0.011530,404
0.011475,405
0.011421,406
0.011368,407
0.011315,408
0.011262,409
0.011209,410
0.011158,411
0.011106,412
0.011055,413
0.011004,414
0.010954,415
0.010904,416
0.010854,417
0.010805,418
0.010756,419
0.010707,420
0.010659,421
0.010611,422
0.010564,423
0.010517,424
0.010470,425
0.010423,426
0.010377,427
0.010331,428
0.010286,429
0.010241,430
0.010196,431
0.010151,432
0.010107,433
0.010063,434
0.010019,435
0.009976,436
0.009933,437
0.009890,438
0.009847,439
0.009805,440
0.009763,441
0.009721,442
0.009680,443
0.009638,444
0.009598,445
0.009557,446
0.009516,447
0.009476,448
0.009436,449
0.009397,450
0.009357,451
0.009318,452
0.009279,453
0.009240,454
0.009202,455
0.009164,456
0.009126,457
0.009088,458
0.009050,459
0.009013,460
0.008976,461
0.008939,462
0.008902,463
0.008866,464
0.008830,465
0.008794,466
0.008758,467
0.008722,468
0.008687,469
0.008652,470
0.008617,471
0.008582,472
0.008548,473
0.008513,474
0.008479,475
0.008445,476
0.008412,477
0.008378,478
0.008345,479
0.008312,480
0.008279,481
0.008246,482
0.008214,483
0.008182,484
0.008149,485
0.008118,486
0.008086,487
0.008054,488
0.008023,489
0.007992,490
0.007961,491
0.007930,492
0.007900,493
0.007869,494
0.007839,495
0.007809,496
0.007779,497
0.007750,498
0.007720,499
0.007691,500
0.007662,501
0.007633,502
0.007604,503
0.007576,504
0.007547,505
0.007519,506
0.007491,507
0.007463,508
0.007436,509
0.007408,510
0.007381,511
0.007354,512
0.007327,513
0.007300,514
0.007274,515
0.007247,516
0.007221,517
0.007195,518
0.007169,519
0.007143,520
0.007118,521
0.007092,522
0.007067,523
0.007042,524
0.007017,525
0.006993,526
0.006968,527
0.006944,528
0.006919,529
0.006895,530
0.006871,531
0.006848,532
0.006824,533
0.006800,534
0.006777,535
0.006754,536
0.006731,537
0.006708,538
0.006685,539
0.006663,540
0.006641,541
0.006618,542
0.006596,543
0.006574,544
0.006552,545
0.006531,546
0.006509,547
0.006488,548
0.006467,549
0.006446,550
0.006425,551
0.006404,552
0.006383,553
0.006363,554
0.006342,555
0.006322,556
0.006302,557
0.006282,558
0.006262,559
0.006242,560
0.006223,561
0.006203,562
0.006184,563
0.006165,564
0.006146,565
0.006127,566
0.006108,567
0.006089,568
0.006071,569
0.006052,570
0.006034,571
0.006016,572
0.005997,573
0.005979,574
0.005962,575
0.005944,576
0.005926,577
0.005909,578
0.005891,579
0.005874,580
0.005857,581
0.005840,582
0.005823,583
0.005806,584
0.005789,585
0.005773,586
0.005756,587
0.005740,588
0.005723,589
0.005707,590
0.005691,591
0.005675,592
0.005659,593
0.005643,594
0.005628,595
0.005612,596
0.005597,597
0.005581,598
0.005566,599
0.005551,600
0.005536,601
0.005521,602
0.005506,603
0.005491,604
0.005476,605
0.005462,606
0.005447,607
0.005433,608
0.005418,609
0.005404,610
0.005390,611
0.005376,612
0.005362,613
0.005348,614
0.005334,615
0.005320,616
0.005307,617
0.005293,618
0.005279,619
0.005266,620
0.005253,621
0.005239,622
0.005226,623
0.005213,624
0.005200,625
0.005187,626
0.005174,627
0.005162,628
0.005149,629
0.005136,630
0.005124,631
0.005111,632
0.005099,633
0.005087,634
0.005074,635
0.005062,636
0.005050,637
0.005038,638
0.005026,639
0.005014,640
0.005002,641
0.004990,642
0.004979,643
0.004967,644
0.004956,645
0.004944,646
0.004933,647
0.004921,648
0.004910,649
0.004899,650
0.004888,651
0.004876,652
0.004865,653
0.004854,654
0.004843,655
0.004833,656
0.004822,657
0.004811,658
0.004800,659
0.004790,660
0.004779,661
0.004769,662
0.004758,663
0.004748,664
0.004738,665
0.004727,666
0.004717,667
0.004707,668
0.004697,669
0.004687,670
0.004677,671
0.004667,672
0.004657,673
0.004647,674
0.004637,675
0.004628,676
0.004618,677
0.004608,678
0.004599,679
0.004589,680
0.004580,681
0.004570,682
0.004561,683
0.004551,684
0.004542,685
0.004533,686
0.004524,687
0.004515,688
0.004506,689
0.004496,690
0.004487,691
0.004479,692
0.004470,693
0.004461,694
0.004452,695
0.004443,696
0.004434,697
0.004426,698
0.004417,699
0.004408,700
0.004400,701
0.004391,702
0.004383,703
0.004375,704
0.004366,705
0.004358,706
0.004349,707
0.004341,708
0.004333,709
0.004325,710
0.004317,711
0.004309,712
0.004300,713
0.004292,714
0.004284,715
0.004277,716
0.004269,717
0.004261,718
0.004253,719
0.004245,720
0.004237,721
0.004230,722
0.004222,723
0.004214,724
0.004207,725
0.004199,726
0.004191,727
0.004184,728
0.004176,729
0.004169,730
0.004162,731
0.004154,732
0.004147,733
0.004140,734
0.004132,735
0.004125,736
0.004118,737
0.004111,738
0.004104,739
0.004096,740
0.004089,741
0.004082,742
0.004075,743
0.004068,744
0.004061,745
0.004054,746
0.004047,747
0.004041,748
0.004034,749
0.004027,750
0.004020,751
0.004013,752
0.004007,753
0.004000,754
0.003993,755
0.003987,756
0.003980,757
0.003974,758
0.003967,759
0.003960,760
0.003954,761
0.003947,762
0.003941,763
0.003935,764
0.003928,765
0.003922,766
0.003916,767
0.003909,768
0.003903,769
0.003897,770
0.003890,771
0.003884,772
0.003878,773
0.003872,774
0.003866,775
0.003860,776
0.003854,777
0.003848,778
0.003841,779
0.003835,780
0.003829,781
0.003824,782
0.003818,783
0.003812,784
0.003806,785
0.003800,786
0.003794,787
0.003788,788
0.003782,789
0.003777,790
0.003771,791
0.003765,792
0.003759,793
0.003754,794
0.003748,795
0.003742,796
0.003737,797
0.003731,798
0.003726,799
0.003720,800
0.003714,801
0.003709,802
0.003703,803
0.003698,804
0.003693,805
0.003687,806
0.003682,807
0.003676,808
0.003671,809
0.003665,810
0.003660,811
0.003655,812
0.003650,813
0.003644,814
0.003639,815
0.003634,816
0.003628,817
0.003623,818
0.003618,819
0.003613,820
0.003608,821
0.003603,822
0.003597,823
0.003592,824
0.003587,825
0.003582,826
0.003577,827
0.003572,828
0.003567,829
0.003562,830
0.003557,831
0.003552,832
0.003547,833
0.003542,834
0.003537,835
0.003533,836
0.003528,837
0.003523,838
0.003518,839
0.003513,840
0.003508,841
0.003503,842
0.003499,843
0.003494,844
0.003489,845
0.003484,846
0.003480,847
0.003475,848
0.003470,849
0.003466,850
0.003461,851
0.003456,852
0.003452,853
0.003447,854
0.003442,855
0.003438,856
0.003433,857
0.003429,858
0.003424,859
0.003420,860
0.003415,861
0.003411,862
0.003406,863
0.003402,864
0.003397,865
0.003393,866
0.003388,867
0.003384,868
0.003380,869
0.003375,870
0.003371,871
0.003366,872
0.003362,873
0.003358,874
0.003353,875
0.003349,876
0.003345,877
0.003340,878
0.003336,879
0.003332,880
0.003328,881
0.003323,882
0.003319,883
0.003315,884
0.003311,885
0.003307,886
0.003302,887
0.003298,888
0.003294,889
0.003290,890
0.003286,891
0.003282,892
0.003278,893
0.003274,894
0.003269,895
0.003265,896
0.003261,897
0.003257,898
0.003253,899
0.003249,900
0.003245,901
0.003241,902
0.003237,903
0.003233,904
0.003229,905
0.003225,906
0.003221,907
0.003217,908
0.003213,909
0.003210,910
0.003206,911
0.003202,912
0.003198,913
0.003194,914
0.003190,915
0.003186,916
0.003182,917
0.003179,918
0.003175,919
0.003171,920
0.003167,921
0.003163,922
0.003160,923
0.003156,924
0.003152,925
0.003148,926
0.003145,927
0.003141,928
0.003137,929
0.003133,930
0.003130,931
0.003126,932
0.003122,933
0.003119,934
0.003115,935
0.003111,936
0.003108,937
0.003104,938
0.003100,939
0.003097,940
0.003093,941
0.003089,942
0.003086,943
0.003082,944
0.003079,945
0.003075,946
0.003072,947
0.003068,948
0.003064,949
0.003061,950
0.003057,951
0.003054,952
0.003050,953
0.003047,954
0.003043,955
0.003040,956
0.003036,957
0.003033,958
0.003029,959
0.003026,960
0.003023,961
0.003019,962
0.003016,963
0.003012,964
0.003009,965
0.003005,966
0.003002,967
0.002999,968
0.002995,969
0.002992,970
0.002989,971
0.002985,972
0.002982,973
0.002979,974
0.002975,975
0.002972,976
0.002969,977
0.002965,978
0.002962,979
0.002959,980
0.002955,981
0.002952,982
0.002949,983
0.002945,984
0.002942,985
0.002939,986
0.002936,987
0.002932,988
0.002929,989
0.002926,990
0.002923,991
0.002920,992
0.002916,993
0.002913,994
0.002910,995
0.002907,996
0.002904,997
0.002900,998
0.002897,999
0.002894,1000
